博物馆信息统计(找不到内容的填NULL)								
Num(用于标识，留空)	M_Cname(中文名）	M_Ename(英文名)	M_Batch(批次）	Province(所属省份)	M_Address(地址)	M_web(官网）	微信公众号	备注
210201	海南省博物馆	HAINAN MUSEUM	2	海南	中国海南省海口市琼山区国兴大道68号  	http://www.hainanmuseum.org/		
210204	中国（海南）南海博物馆	CHINA (HAINAN) MUSEUM OF THE SOUTH CHINA SEA 	4	海南	海南省琼海市潭门镇博物馆路	http://www.nanhaimuseum.org/index.html		
230101	自贡恐龙博物馆	Zigong Dinosaur Museum	1	四川	四川省自贡市大山铺恐龙化石群遗址	http://www.zdm.cn/		
230102	三星堆博物馆	Sanxingdui Museum	1	四川	四川省广汉市西安路133号	http://sxd.cn/		
230103	成都武侯祠博物馆	Chengdu Wuhou Shrine	1	四川	中国.成都市武侯祠大街231号	http://www.wuhouci.net.cn/default.html		
230104	邓小平故居陈列馆	NULL	1	四川	四川省广安市广安区协兴镇牌坊村	NULL	NULL	
230105	成都杜甫草堂博物馆	Du fu thatched cottage museum in chengdu	1	四川	成都市青羊区青华路37号	http://cddfct.com/index.php		
230201	四川博物院	Sichuan Museum	2	四川	四川省成都市浣花溪历史文化风景区	NULL	gh_19489cb139ff	疑似是这个官网 https://www.scmuseum.cn/，但打不开，好像没有
230202	金沙遗址博物馆	Jinsha Site Museum	2	四川	成都市青羊区金沙遗址路2号	http://www.jinshasitemuseum.com/		百度上是“成都金沙遗址博物馆”，这里去掉了成都二字，与官网名称符合
230301	自贡市盐业历史博物馆	Zigong Salt Making Industry History Museum	3	四川	中国·四川·自贡市解放路173号	http://www.zgshm.cn/		
230401	成都博物馆	Chengdu Museum	4	四川	四川省成都市小河街1号天府广场西侧	https://cdmuseum.com/		
